IAQ_var,Cog_var,r,p,n,Sig
CO2 (ppm),Simple RT (ms),0.263,0.0184,80,*
CO2 (ppm),Choice RT (ms),0.178,0.114,80,ns
CO2 (ppm),Stroop Interference (ms),-0.029,0.7952,80,ns
CO2 (ppm),Stroop Accuracy (%),0.518,0,80,***
CO2 (ppm),N-back d' 1-back,-0.434,1e-4,77,***
CO2 (ppm),N-back d' 2-back,-0.142,0.2193,77,ns
CO2 (ppm),N-back d' 3-back,-0.642,0,39,***
CO2 (ppm),N-back Accuracy (%),-0.308,0.0065,77,**
PM2.5 (ug/m3),Simple RT (ms),0.066,0.4454,137,ns
PM2.5 (ug/m3),Choice RT (ms),-0.035,0.6826,137,ns
PM2.5 (ug/m3),Stroop Interference (ms),0.03,0.7278,137,ns
PM2.5 (ug/m3),Stroop Accuracy (%),0.038,0.656,137,ns
PM2.5 (ug/m3),N-back d' 1-back,-0.091,0.2994,131,ns
PM2.5 (ug/m3),N-back d' 2-back,-0.206,0.0181,131,*
PM2.5 (ug/m3),N-back d' 3-back,-0.001,0.9946,93,ns
PM2.5 (ug/m3),N-back Accuracy (%),0.335,1e-4,131,***
PM1 (ug/m3),Simple RT (ms),0.054,0.531,137,ns
PM1 (ug/m3),Choice RT (ms),-0.039,0.652,137,ns
PM1 (ug/m3),Stroop Interference (ms),0.054,0.5319,137,ns
PM1 (ug/m3),Stroop Accuracy (%),-0.035,0.6884,137,ns
PM1 (ug/m3),N-back d' 1-back,-0.037,0.6747,131,ns
PM1 (ug/m3),N-back d' 2-back,-0.166,0.0582,131,.
PM1 (ug/m3),N-back d' 3-back,0.08,0.4447,93,ns
PM1 (ug/m3),N-back Accuracy (%),0.324,2e-4,131,***
NO2 (ug/m3),Simple RT (ms),0.12,0.1625,137,ns
NO2 (ug/m3),Choice RT (ms),0.008,0.929,137,ns
NO2 (ug/m3),Stroop Interference (ms),-0.195,0.0221,137,*
NO2 (ug/m3),Stroop Accuracy (%),0.658,0,137,***
NO2 (ug/m3),N-back d' 1-back,-0.48,0,131,***
NO2 (ug/m3),N-back d' 2-back,-0.331,1e-4,131,***
NO2 (ug/m3),N-back d' 3-back,-0.47,0,93,***
NO2 (ug/m3),N-back Accuracy (%),0.049,0.5809,131,ns
Temperature (C),Simple RT (ms),0.365,0,137,***
Temperature (C),Choice RT (ms),0.199,0.02,137,*
Temperature (C),Stroop Interference (ms),0.018,0.8376,137,ns
Temperature (C),Stroop Accuracy (%),0.252,0.003,137,**
Temperature (C),N-back d' 1-back,-0.271,0.0018,131,**
Temperature (C),N-back d' 2-back,-0.075,0.3932,131,ns
Temperature (C),N-back d' 3-back,-0.232,0.0253,93,*
Temperature (C),N-back Accuracy (%),-0.238,0.0061,131,**
Humidity (%),Simple RT (ms),-0.006,0.941,137,ns
Humidity (%),Choice RT (ms),0,0.9957,137,ns
Humidity (%),Stroop Interference (ms),0.076,0.3751,137,ns
Humidity (%),Stroop Accuracy (%),-0.195,0.0226,137,*
Humidity (%),N-back d' 1-back,0.121,0.1669,131,ns
Humidity (%),N-back d' 2-back,-0.047,0.5926,131,ns
Humidity (%),N-back d' 3-back,-0.101,0.3341,93,ns
Humidity (%),N-back Accuracy (%),0.168,0.0554,131,.
